T,u,v
876709.16367831,0.18010488,0.26385625
885476.25531509,0.18010425,0.26385366
894331.01786824,0.18010362,0.26385109
903274.32804692,0.18010299,0.26384855
912307.07132739,0.18010238,0.26384603
921430.14204067,0.18010176,0.26384354
930644.44346107,0.18010116,0.26384108
939950.88789568,0.18010056,0.26383864
949350.39677464,0.18009997,0.26383622
958843.90074239,0.18009938,0.26383383
968432.33974981,0.18009880,0.26383146
978116.66314731,0.18009822,0.26382912
987897.82977878,0.18009765,0.26382680
997776.80807657,0.18009709,0.26382450
1007754.57615733,0.18009653,0.26382222
1017832.12191891,0.18009598,0.26381997
1028010.44313810,0.18009543,0.26381774
1038290.54756948,0.18009489,0.26381553
1048673.45304517,0.18009435,0.26381335
1059160.18757562,0.18009382,0.26381119
1069751.78945138,0.18009330,0.26380904
1080449.30734589,0.18009278,0.26380692
1091253.80041935,0.18009226,0.26380482
1102166.33842355,0.18009175,0.26380274
1113188.00180778,0.18009125,0.26380069
1124319.88182586,0.18009075,0.26379865
1135563.08064412,0.18009025,0.26379663
1146918.71145056,0.18008976,0.26379464
1158387.89856507,0.18008928,0.26379266
1169971.77755072,0.18008880,0.26379070
1181671.49532622,0.18008832,0.26378876
1193488.21027949,0.18008785,0.26378685
1205423.09238228,0.18008739,0.26378495
1217477.32330610,0.18008693,0.26378307
1229652.09653916,0.18008647,0.26378120
1241948.61750456,0.18008602,0.26377936
1254368.10367960,0.18008557,0.26377754
1266911.78471640,0.18008513,0.26377573
1279580.90256356,0.18008469,0.26377394
1292376.71158920,0.18008425,0.26377217
1305300.47870509,0.18008383,0.26377042
1318353.48349214,0.18008340,0.26376868
1331537.01832706,0.18008298,0.26376697
1344852.38851033,0.18008256,0.26376526
1358300.91239544,0.18008215,0.26376358
1371883.92151939,0.18008174,0.26376191
1385602.76073458,0.18008134,0.26376026
1399458.78834193,0.18008093,0.26375863
1413453.37622535,0.18008054,0.26375701
1427587.90998760,0.18008015,0.26375541
1441863.78908748,0.18007976,0.26375382
1456282.42697835,0.18007937,0.26375225
1470845.25124814,0.18007899,0.26375070
1485553.70376062,0.18007861,0.26374916
1500409.24079823,0.18007824,0.26374763
1515413.33320621,0.18007787,0.26374613
1530567.46653827,0.18007750,0.26374463
1545873.14120365,0.18007714,0.26374315
1561331.87261569,0.18007678,0.26374169
1576945.19134185,0.18007643,0.26374024
1592714.64325526,0.18007608,0.26373881
1608641.78968782,0.18007573,0.26373739
1624728.20758469,0.18007538,0.26373598
1640975.48966054,0.18007504,0.26373459
1657385.24455715,0.18007471,0.26373321
1673959.09700272,0.18007437,0.26373184
1690698.68797275,0.18007404,0.26373049
1707605.67485247,0.18007371,0.26372915
1724681.73160100,0.18007339,0.26372783
1741928.54891701,0.18007307,0.26372652
1759347.83440618,0.18007275,0.26372522
1776941.31275024,0.18007243,0.26372393
1794710.72587774,0.18007212,0.26372266
1812657.83313652,0.18007181,0.26372140
1830784.41146789,0.18007151,0.26372015
1849092.25558256,0.18007121,0.26371892
1867583.17813839,0.18007091,0.26371770
1886259.00991977,0.18007061,0.26371649
1905121.60001897,0.18007032,0.26371529
1924172.81601916,0.18007003,0.26371410
1943414.54417935,0.18006974,0.26371293
1962848.68962115,0.18006945,0.26371176
1982477.17651736,0.18006917,0.26371061
2002301.94828253,0.18006889,0.26370947
2022324.96776536,0.18006862,0.26370834
